id,tag_name,description
1,hydrating,Mendukung hidrasi dan kelembapan kulit.
2,barrier_repair,Mendukung perawatan skin barrier.
3,soothing,Mendukung rasa nyaman pada kulit reaktif.
4,oil_control,Mendukung kontrol minyak berlebih.
5,acne_care,Mendukung perawatan kulit berjerawat ringan atau komedo.
6,brightening,Mendukung tampilan kulit tampak lebih cerah dan merata.
7,exfoliating,Mendukung pengangkatan sel kulit mati secara kosmetik.
8,sunscreen_filter,Filter UV untuk membantu perlindungan dari paparan matahari.
9,basic_support,Bahan pendukung dasar formula skincare.
